date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:37	59338/59338	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:52:05%20GMT	https://html.modernwebtemplates.com/medico/index_veterenary.html	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/index_veterenary.html	(from )
18:26:38	20/20	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2013:26:39%20GMT	https://html.modernwebtemplates.com/robots.txt		(from )
18:26:38	121200/121200	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2013:52:03%20GMT	https://html.modernwebtemplates.com/medico/css/bootstrap.min.css	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/css/bootstrap.min.css	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:39	127293/127293	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2013:52:03%20GMT	https://html.modernwebtemplates.com/medico/css/main2.css	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/css/main2.css	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:39	32420/32420	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2013:52:03%20GMT	https://html.modernwebtemplates.com/medico/css/animations.css	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/css/animations.css	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:39	63729/63729	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2013:52:03%20GMT	https://html.modernwebtemplates.com/medico/css/fonts.css	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/css/fonts.css	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:39	12917/12917	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2013:52:05%20GMT	https://html.modernwebtemplates.com/medico/layerslider/css/layerslider.css	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/layerslider/css/layerslider.css	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:39	15418/15418	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2014%20Jan%202021%2013:52:03%20GMT	https://html.modernwebtemplates.com/medico/js/vendor/modernizr-2.6.2.min.js	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/js/vendor/modernizr-2.6.2.min.js	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:40	4172/4172	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2013:52:03%20GMT	https://html.modernwebtemplates.com/medico/images/logo_veterinary.png	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/images/logo_veterinary.png	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:40	64478/64478	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:52:05%20GMT	https://html.modernwebtemplates.com/medico/	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/index.html	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:41	64478/64478	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:52:05%20GMT	https://html.modernwebtemplates.com/medico/index.html	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/index-2.html	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
18:26:41	47941/47941	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:52:05%20GMT	https://html.modernwebtemplates.com/medico/index_singlepage.html	C:/Users/ahmed/OneDrive/Desktop/codexter/Vet-AI/html.modernwebtemplates.com/medico/index_singlepage.html	(from https://html.modernwebtemplates.com/medico/index_veterenary.html)
